Enfermedad,dolor leve,dolor moderadamente intenso,dolor intenso,dolor insoportable,retortijones,dolor cólico,dolor punzante,quemazón,dolor vago,dolor al comer,sensación de hambre,distensión,náuseas,vómitos,malestar estomacal,sudoración,taquicardia,sangre en la orina,ardor al orinar,dolor al orinar,sensación imperiosa de orinar,sangre en las heces,dolor en la evacuación,evacuación incompleta,diarrea,sangre en la diarrea,protuberancia indolora en la ingle y en el escroto,fiebre,ictericia,estreñimiento,pérdida de peso,cansancio,saciedad
Cálculos biliares1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Hepatitis1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Pancreatitis1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Úlcera duodenal1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculos biliares2,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastritis2,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastrointeritis2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Hepatitis2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
Pancreatitis2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Úcera estomacal2,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
